city,latitude,longitude,Provincie,population
The Hague,52.0767,4.2986,Zuid-Holland,1406000.0
Amsterdam,52.3667,4.8833,Noord-Holland,862965.0
Utrecht,52.0908,5.1222,Utrecht,640000.0
Rotterdam,51.9225,4.4792,Zuid-Holland,631155.0
Eindhoven,51.4408,5.4778,Noord-Brabant,398053.0
Almere,52.3758,5.2256,Flevoland,207904.0
Groningen,53.2167,6.5667,Groningen,201462.0
Breda,51.5875,4.775,Noord-Brabant,183873.0
Apeldoorn,52.21,5.97,Gelderland,161156.0
Haarlem,52.3803,4.6406,Noord-Holland,159134.0
Zaanstad,52.4697,4.7767,Noord-Holland,154037.0
Arnhem,51.9833,5.9167,Gelderland,148070.0
’s-Hertogenbosch,51.6833,5.3167,Noord-Brabant,134520.0
Leeuwarden,53.2,5.7833,Fryslân,124084.0
Maastricht,50.8483,5.6889,Limburg,122378.0
Zwolle,52.5125,6.0944,Overijssel,111805.0
Alphen aan den Rijn,52.1333,4.65,Zuid-Holland,110986.0
Emmen,52.7833,6.9,Drenthe,107471.0
Delft,52.0119,4.3594,Zuid-Holland,100011.0
Deventer,52.25,6.2,Overijssel,99166.0
Hilversum,52.23,5.18,Noord-Holland,87817.0
Heerlen,50.8833,5.9833,Limburg,86833.0
Purmerend,52.505,4.9639,Noord-Holland,80117.0
Lelystad,52.5167,5.4833,Flevoland,77893.0
Roosendaal,51.5314,4.4556,Noord-Brabant,77032.0
Spijkenisse,51.8333,4.3167,Zuid-Holland,72740.0
Ede,52.0436,5.6667,Gelderland,72460.0
Gouda,52.0181,4.7056,Zuid-Holland,71449.0
Zaandam,52.4417,4.8422,Noord-Holland,68695.0
Bergen op Zoom,51.5,4.3,Noord-Brabant,66811.0
Capelle aan den IJssel,51.9357,4.5782,Zuid-Holland,66514.0
Veenendaal,52.025,5.555,Utrecht,65589.0
Katwijk,52.2008,4.4153,Zuid-Holland,65302.0
Zeist,52.0833,5.2333,Utrecht,63934.0
Nieuwegein,52.0314,5.0919,Utrecht,63036.0
Assen,52.9967,6.5625,Drenthe,62237.0
Hardenberg,52.5758,6.6194,Overijssel,59689.0
Barneveld,52.1333,5.5833,Gelderland,57971.0
Roermond,51.1933,5.9872,Limburg,57308.0
Heerhugowaard,52.668,4.841,Noord-Holland,56742.0
Oosterhout,51.6431,4.8569,Noord-Brabant,55616.0
Den Helder,52.9583,4.7589,Noord-Holland,55604.0
Hoogeveen,52.7167,6.4667,Drenthe,55224.0
Kampen,52.55,5.9,Overijssel,53779.0
Woerden,52.0858,4.8833,Utrecht,51156.0
Houten,52.0261,5.1728,Utrecht,49911.0
Sittard,51.0,5.8667,Limburg,49483.0
IJmuiden,52.4586,4.6194,Noord-Holland,48320.0
Middelburg,51.4997,3.6136,Zeeland,47939.0
Harderwijk,52.3506,5.6172,Gelderland,47581.0
Zutphen,52.14,6.195,Gelderland,47423.0
Ridderkerk,51.8667,4.6,Zuid-Holland,46241.0
Kerkrade,50.8667,6.0667,Limburg,45642.0
Veldhoven,51.4197,5.3992,Noord-Brabant,45337.0
Medemblik,52.7674,5.1037,Noord-Holland,44809.0
