,postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie,Straten
0,3028XG,51.917692692093,4.4198660023085,Hekbootstraat 19 - 25 ,010,3028,Oud Mathenesse,Delfshaven,Rotterdam,Rotterdam,Zuid-Holland,
1,1431BR,52.270576669876,4.7473358713118,Helling 1 - 41 ,0297,1431,Centrum,Wijk 00 Aalsmeer,Aalsmeer,Aalsmeer,Noord-Holland,
2,1013HC,52.381284709262,4.8876061409992,Brouwersgracht 180 - 194 ,020,1013,Haarlemmerbuurt West,Haarlemmerbuurt,Amsterdam,Amsterdam,Noord-Holland,
3,1057RM,52.367372972256,4.8515729645276,Van Spilbergenstraat 98 - 118 ,020,1057,Orteliusbuurt Midden,Hoofdweg e.o.,Amsterdam,Amsterdam,Noord-Holland,
4,2574EK,52.060368339487,4.2898385537087,Soestdijksekade 936 - 958 ,070,2574,Oostbroek-Zuid,Wijk 31 Rustenburg en Oostbroek,Den Haag,'s-Gravenhage,Zuid-Holland,
5,1061VX,52.366858288616,4.8406520658433,Derkinderenstraat 90 - 220 ,020,1061,Overtoomse Veld Noord,Overtoomse Veld,Amsterdam,Amsterdam,Noord-Holland,
6,2563AA,52.080237901726,4.2807956705419,Laan van Meerdervoort 211 - 231 ,070,2563,Sweelinckplein en omgeving,Wijk 11 Duinoord,Den Haag,'s-Gravenhage,Zuid-Holland,
7,1082SV,52.334081589494,4.8737994700028,Wedderborg 1 - 47 ,020,1082,Gelderlandpleinbuurt,Buitenveldert-West,Amsterdam,Amsterdam,Noord-Holland,
8,3314CV,51.795994653858,4.6575382271123,Zuidendijk 189 - 225 ,078,3314,Zuidendijk,Wijk 03 Oud Krispijn,Dordrecht,Dordrecht,Zuid-Holland,
9,2311SB,52.157018619294,4.4893122507508,Zuidendijk 189 - 225 ,071,2311,Pieterswijk,Binnenstad-Zuid,Leiden,Leiden,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
10,1071GD,52.35587669901,4.8682195936988,Van Eeghenstraat 185 - 199 ,020,1071,Cornelis Schuytbuurt,Museumkwartier,Amsterdam,Amsterdam,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
11,2597GD,52.105053107307,4.329123083244,Cees Laseurlaan 165 - 205 ,070,2597,Duinzigt,Wijk 04 Benoordenhout,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
12,2513RW,52.078334743979,4.2949662005947,Helmersstraat 57 - 107 ,070,2513,Zeeheldenkwartier,Wijk 22 Zeeheldenkwartier,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
13,3062KC,51.921185146627,4.5142150693102,Polanenstraat 2 - 16 ,010,3062,Kralingen Oost,Kralingen-Crooswijk,Rotterdam,Rotterdam,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
14,2132DL,52.303591311055,4.6927074398915,Marktlaan 1 - 31 ,023,2132,Hoofddorp Zuid,Hoofddorp,Hoofddorp,Haarlemmermeer,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
15,2713GN,52.051922038841,4.4808572460391,Stadhoudersring 392 - 460 ,079,2713,Driemanspolder,Centrum,Zoetermeer,Zoetermeer,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
16,3811JW,52.158134729961,5.3948170448046,Oliesteeg 1 - 36 ,033,3811,Coninckstraat,Wijk 01 Stadskern,Amersfoort,Amersfoort,Utrecht,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
17,2351AK,52.150251815747,4.5233625298842,Hoofdstraat 24 - 40 ,071,2351,Kerkwijk,Wijk 00,Leiderdorp,Leiderdorp,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
18,3706BW,52.098918186747,5.2140134741893,Bachlaan 59 - 109 ,030,3706,Mooi Zeist,Wijk 02 Zeist-Noord,Zeist,Zeist,Utrecht,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
19,1971DM,52.461575214,4.6268134288738,Gjertsenstraat 1 - 20 ,0255,1971,Lagersbuurt,Wijk 01 IJmuiden-Noord,IJmuiden,Velsen,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
20,6211PW,50.849177578434,5.6822658843067,Herdenkingsplein 2 - 12 ,043,6211,Kommelkwartier,Wijk 00 Centrum,Maastricht,Maastricht,Limburg,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
21,5658GE,51.438136996611,5.4162445740428,Grasmier 1 - 36 ,040,5658,Grasrijk,Wijk 16 Stadsdeel Strijp,Eindhoven,Eindhoven,Noord-Brabant,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
22,1016BC,52.368481888756,4.8871257060839,Herengracht 371 - 395 ,020,1016,Leidsegracht Noord,Grachtengordel-West,Amsterdam,Amsterdam,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
23,1012PZ,52.374563968971,4.8923781470917,Blaeu Erf 5 - 12 ,020,1012,Nieuwe Kerk e.o.,Burgwallen-Nieuwe Zijde,Amsterdam,Amsterdam,Noord-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
24,3014GM,51.920452926123,4.471293046434,Westersingel 1 - 10 ,010,3014,Cool,Rotterdam Centrum,Rotterdam,Rotterdam,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
25,2521CJ,52.061080370933,4.3109580737011,Waldorpstraat 215 - 507 ,070,2521,Laakhaven-West,Wijk 38 Laakkwartier en Spoorwijk,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
26,2522EG,52.060578212789,4.3285777974007,Lorentzplein 62 - 69 ,070,2522,Noordpolderbuurt,Wijk 38 Laakkwartier en Spoorwijk,Den Haag,'s-Gravenhage,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
27,3052SR,51.950881695491,4.470861060514,Wilgenplaslaan 370 - 416 ,010,3052,Schiebroek,Hillegersberg-Schiebroek,Rotterdam,Rotterdam,Zuid-Holland,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
28,4819BE,51.575945027914,4.7727764433308,Boeimeerlaan 2 - 24 ,076,4819,Boeimeer,Breda Zuid,Breda,Breda,Noord-Brabant,"
Lombardpoort 11 - 11 

Nieuwsteeg 2 - 16 

"
