,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie
0,4811 CA,51.5946317003,4.7885515477519,"
Ceresstraat 1 - 47 

",076,4811,Station,Breda Centrum,Breda,Breda,Noord-Brabant
0,9715 BT,53.2289473923,6.5620397852444,"
Riouwstraat 21 - 41 

",050,9715,Indische buurt,Oud-Noord,Groningen,Groningen,Groningen
0,1078 CE,52.34735288642,4.9000724389751,"
IJselstraat 71 - 85 

",020,1078,IJselbuurt West,IJselbuurt,Amsterdam,Amsterdam,Noord-Holland
0,2312 RK,52.161821209741,4.4992663273752,"
Oude Singel 240 - 366 

",071,2312,Noordvest,Binnenstad-Noord,Leiden,Leiden,Zuid-Holland
0,5611 EK,51.436664866736,5.4803051684457,"
Begijnenhof 1 - 35 

",040,5611,Binnenstad,Wijk 11 Stadsdeel Centrum,Eindhoven,Eindhoven,Noord-Brabant
0,6413 MA,50.914457738431,5.947753138732,"
Fossielenerf 2 - 96 

",045,6413,Groot Rennemig,Wijk 24 Rennemig-Beersdal,Heerlen,Heerlen,Limburg
0,3543 EN,52.101130891238,5.0459817513431,"
Ella Fitzgeraldplein 1 - 1005 

",030,3543,Terwijde-Oost,Wijk 09 Leidsche Rijn,Utrecht,Utrecht,Utrecht
0,6711 GZ,52.044337851501,5.6694113858924,"
Marktstraat 189 - 255 

",0318,6711,Centrum Ede,Ede-Oost,Ede,Ede,Gelderland
0,3037 XK,51.934709488548,4.4710510409166,"
Schieveenstraat 31 - 51 

",010,3037,Liskwartier,Noord,Rotterdam,Rotterdam,Zuid-Holland
0,4811 TP,51.587683584128,4.769504398904,"
Haagdijk 41 - 99 

",076,4811,Schorsmolen,Breda Centrum,Breda,Breda,Noord-Brabant
0,2431 AE,52.164733467288,4.8281711607365,"
Simon van Capelweg 109 - 205 

",0172,2431,Noorden (gedeeltelijk),Wijk 00,Noorden,Nieuwkoop,Zuid-Holland
0,1972 PT,52.461822541929,4.6052764159432,"
Jacob van Heemskerkstraat 35 - 65 

",0255,1972,Verzetsheldenbuurt,Wijk 01 IJmuiden-Noord,IJmuiden,Velsen,Noord-Holland
0,5623 AW,51.454353084214,5.4764407229202,"
Veldmaarschalk Montgomerylaan 719 - 781 

",040,5623,Kronehoef,Wijk 14 Stadsdeel Woensel-Zuid,Eindhoven,Eindhoven,Noord-Brabant
0,3074 EB,51.898221083574,4.5104051343674,"
Beijerlandselaan 27 - 47 

",010,3074,Hillesluis,Feijenoord,Rotterdam,Rotterdam,Zuid-Holland
0,2524 AZ,52.054578647473,4.317709096723,"
Van Zeggelenlaan 232 - 276 

",070,2524,Laakkwartier-West,Wijk 38 Laakkwartier en Spoorwijk,Den Haag,'s-Gravenhage,Zuid-Holland
0,5041 AR,51.565183068516,5.088012555418,"
Schaepmanstraat 2 - 46 

",013,5041,Theresia Oost,Theresia,Tilburg,Tilburg,Noord-Brabant
0,5664 GT,51.423978284899,5.5625335434137,"
Hofdael 162 - 214 

",040,5664,Centrum,Wijk 00 Geldrop,Geldrop,Geldrop-Mierlo,Noord-Brabant
0,6131 HK,50.996168004312,5.8734664619949,"
Putstraat 51 - 97 

",046,6131,Sittard-Centrum,Wijk 01 Sittard,Sittard,Sittard-Geleen,Limburg
0,5616 BW,51.436257145726,5.4632856536919,"
Graaf Adolfstraat 2 - 60 

",040,5616,"Eliasterrein, Vonderkwartier",Wijk 16 Stadsdeel Strijp,Eindhoven,Eindhoven,Noord-Brabant
0,5104 KD,51.626370018976,4.9461822450123,"
Min. Ruys de Beerenbrouckstraat 1 - 27 

",0162,5104,Centrum,Dongen,Dongen,Dongen,Noord-Brabant
0,8911 BD,53.199113722942,5.7890228392295,"
Westerkade 7 - 77 

",058,8911,Zaailand,Binnenstad,Leeuwarden,Leeuwarden,Friesland
0,3062 HE,51.925356608784,4.5193444563818,"
Louise de Colignylaan 127 - 245 

",010,3062,Kralingen Oost,Kralingen-Crooswijk,Rotterdam,Rotterdam,Zuid-Holland
0,2281 BD,52.059489581456,4.3382392027609,"
Caan van Necklaan 123 - 151 

",070,2281,Cromvliet,Wijk 01,Rijswijk,Rijswijk,Zuid-Holland
