,Postcode,latitude,longitude,Straat,Netnummer,Postcodenummer,Buurt,Wijk,Plaats,Gemeente,Provincie
0,3112 DA,51.917042141489,4.4067373859668,"
Archimedesstraat 3 - 21 

",010,3112,Natuurkundigenbuurt,Wijk 01 Oost,Schiedam,Schiedam,Zuid-Holland
0,6411 HG,50.886440565942,5.9792457904911,"
Dr. Poelsstraat 1 - 85 

",045,6411,Heerlen-Centrum,Wijk 33 Heerlen-Centrum,Heerlen,Heerlen,Limburg
0,1051 VC,52.384301879385,4.872817148908,"
Van der Hoopstraat 61 - 81 

",020,1051,Fannius Scholtenbuurt,Staatsliedenbuurt,Amsterdam,Amsterdam,Noord-Holland
0,1171 VT,52.341349146916,4.7786510608541,"
Einsteinlaan 193 - 239 

",020,1171,Badhoevedorp West,Badhoevedorp,Badhoevedorp,Haarlemmermeer,Noord-Holland
0,5701 JV,51.48169286027,5.6676630760178,"
Pastoor van Leeuwenstraat 2 - 46 

",0492,5701,Heipoort,Wijk 10 Binnenstad,Helmond,Helmond,Noord-Brabant
0,1012 SP,52.377050314659,4.8941770610497,"
Spuistraat 1 - 19 

",020,1012,Hemelrijk,Burgwallen-Nieuwe Zijde,Amsterdam,Amsterdam,Noord-Holland
0,2215 JX,52.227637815142,4.4876100954033,"
Rossinipad 1 - 36 

",0252,2215,Hoogh Teylingen,Wijk 01 Voorhout,Voorhout,Teylingen,Zuid-Holland
0,3743 BJ,52.21256387375,5.2840228590206,"
Laanstraat 104 - 132 

",035,3743,Centrum,Wijk 00 Baarn,Baarn,Baarn,Utrecht
0,6811 JX,51.981116484497,5.9041823207303,"
Oude Oeverstraat 4 - 72 

",026,6811,Weverstraat,Centrum,Arnhem,Arnhem,Gelderland
0,3039 EM,51.930842294715,4.4626571280296,"
Stadhoudersplein 10 - 14 

",010,3039,Blijdorp,Noord,Rotterdam,Rotterdam,Zuid-Holland
0,3071 JM,51.913253861774,4.5037542995403,"
Nassaustraat 3 - 81 

",010,3071,Feijenoord,Feijenoord,Rotterdam,Rotterdam,Zuid-Holland
0,1188 DH,52.284867659114,4.8460424975334,"
Lantaarnopsteker 1 - 53 

",020,1188,Beroepenbuurt,"Waardhuizen, Middenhoven",Amstelveen,Amstelveen,Noord-Holland
0,2513 GL,52.08195145945,4.2997083863971,"
Elandstraat 1 - 53 

",070,2513,Zeeheldenkwartier,Wijk 22 Zeeheldenkwartier,Den Haag,'s-Gravenhage,Zuid-Holland
0,6101 GB,51.101490654437,5.8714665824665,"
Peijerstraat 51 - 77 

",0475,6101,Echt Centrum,Wijk 05 Echt,Echt,Echt-Susteren,Limburg
0,1054 HM,52.362773745388,4.8746130095485,"
Overtoom 114 - 126 

",020,1054,WG-terrein,Helmersbuurt,Amsterdam,Amsterdam,Noord-Holland
0,6211 JK,50.845476630246,5.688194357192,"
Looiersgracht 1 - 22 

",043,6211,Jekerkwartier,Wijk 00 Centrum,Maastricht,Maastricht,Limburg
0,2611 EP,52.010663733163,4.3593462651488,"
Kromstraat 1 - 43 

",015,2611,Centrum,Wijk 11 Binnenstad,Delft,Delft,Zuid-Holland
0,5702 SL,51.497497977641,5.6601521064533,"
Basstraat 120 - 170 

",0492,5702,Eeuwsels,Wijk 12 Helmond-Noord,Helmond,Helmond,Noord-Brabant
0,3708 HA,52.074053470101,5.2605612282435,"
Sophialaan 1 - 11 

",030,3708,Kerckebosch,"Wijk 04 Zeist-Oost, Zeister Bos en omgeving",Zeist,Zeist,Utrecht
0,7423 DW,52.254275305366,6.2066261170051,"
Zwaluwenburg 43 - 89 

",0570,7423,Groot Douwel,Wijk 8 Colmschate-Noord,Deventer,Deventer,Overijssel
0,9462 TB,52.97815319758,6.7646148395453,"
Houtvester Jansenweg 1 - 6 

",0599,9462,Verspreide huizen Gasselte,Wijk 14 Gasselte,Gasselte,Aa en Hunze,Drenthe
