,price,address,street,agency,irl,Living area,Rooms,interior,garden area,postcode,date
0,1495,2586 XK Den Haag (Rijslag),House Messstraat,Sonar appartementen,/house-for-rent/den-haag/40dbae69/messstraat,80,3,Furnished,,2586XK,2021-08-11
1,450,2563 XN Den Haag (Valkenboskwartier),Apartment Nicolaas Tulpstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/9c67aea8/nicolaas-tulpstraat,22,2,Upholstered,,2563XN,2021-08-11
2,752,2518 LC Den Haag (Rond de Energiecentrale),Apartment Van Boecopkade,Expata,/apartment-for-rent/den-haag/3c4b04e4/van-boecopkade,30,1,Furnished,,2518LC,2021-08-11
3,1900,2585 GN Den Haag (Archipelbuurt),Apartment Paramaribostraat,A&N Vastgoed,/apartment-for-rent/den-haag/570678c0/paramaribostraat,105,3,Upholstered,,2585GN,2021-08-11
4,663,2562 AB Den Haag (Rond de Energiecentrale),Apartment Beeklaan,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/4bf157bb/beeklaan,40,2,Furnished,,2562AB,2021-08-11
5,400,2563 XN Den Haag (Valkenboskwartier),Apartment Nicolaas Tulpstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/b90d2ce9/nicolaas-tulpstraat,21,2,Upholstered,,2563XN,2021-08-11
6,1425,2583 EK Den Haag (Vissershaven),Apartment Westduinweg 62,Four Star Apartments,/apartment-for-rent/den-haag/19ca48eb/westduinweg,55,2,Furnished,,2583EK,2021-08-11
7,2450,2582 LG Den Haag (Statenkwartier),House Van Bleiswijkstraat,VERRA Real Estate,/house-for-rent/den-haag/b9d1db62/van-bleiswijkstraat,150,5,Furnished,50.0,2582LG,2021-08-11
8,1500,2551 BP Den Haag (Waldeck-Noord),Apartment Landréstraat 1027,Avenir Vastgoed,/apartment-for-rent/den-haag/59ab86b1/landrestraat,125,4,Upholstered,,2551BP,2021-08-11
9,1495,2514 BM Den Haag (Voorhout),Apartment Hooistraat 9 I,Wooncompany Den Haag,/apartment-for-rent/den-haag/3a3b25b2/hooistraat,94,2,Upholstered,,2514BM,2021-08-11
