,price,address,street,agency,irl,Living area,Rooms,interior,garden area,plot area,postcode,date
0,695,2563 BH Den Haag (Valkenboskwartier),Apartment Laan van Meerdervoort,Immovita,/apartment-for-rent/den-haag/95644b3f/laan-van-meerdervoort,35,2,Upholstered,,,2563BH,2021-08-16
1,825,2546 BA Den Haag (Leyenburg),Apartment Driebergenstraat 31,RE/MAX Adviseurs,/apartment-for-rent/den-haag/e343ac79/driebergenstraat,30,1,Furnished,,,2546BA,2021-08-16
2,1150,2563 PS Den Haag (Heesterbuurt),Apartment Lavendelstraat,Expata,/apartment-for-rent/den-haag/b4f5411d/lavendelstraat,85,4,Upholstered,,,2563PS,2021-08-16
3,1120,2532 CD Den Haag (Moerwijk-Noord),Apartment Erasmusweg,Oost West Makelaars & Consultancy,/apartment-for-rent/den-haag/0e26b568/erasmusweg,45,2,,,,2532CD,2021-08-16
4,1650,2513 CT Den Haag (Zeeheldenkwartier),Apartment 1e De Riemerstraat 11 A,Lutz Real Estate,/apartment-for-rent/den-haag/15f9be67/1e-de-riemerstraat,95,3,Furnished,,,2513CT,2021-08-16
5,875,2597 XS Den Haag (Uilennest),Apartment Hart Nibbrigkade 71 12,Expat & Real Estate B.V.,/apartment-for-rent/den-haag/ab964d4b/hart-nibbrigkade,60,2,Upholstered,,,2597XS,2021-08-16
6,1175,2597 AV Den Haag (Waalsdorp),Apartment Van Alkemadelaan 428,Voorberg Makelaars,/apartment-for-rent/den-haag/bc05b6cc/van-alkemadelaan,108,3,,,,2597AV,2021-08-16
7,395,2516 XL Den Haag (Noordpolderbuurt),Room Drijfriemstraat,Immovita,/room-for-rent/den-haag/b7cfebbb/drijfriemstraat,23,1,Upholstered,,,2516XL,2021-08-16
8,950,2562 CH Den Haag (Koningsplein en omgeving),Apartment Franklinstraat,Vesting Vastgoed,/apartment-for-rent/den-haag/d551ba43/franklinstraat,37,2,Upholstered,,,2562CH,2021-08-16
9,1175,2562 CH Den Haag (Koningsplein en omgeving),Apartment Franklinstraat,Vesting Vastgoed,/apartment-for-rent/den-haag/40ecc7f8/franklinstraat,51,3,Upholstered,,,2562CH,2021-08-16
10,1150,2562 CH Den Haag (Koningsplein en omgeving),Apartment Franklinstraat,Vesting Vastgoed,/apartment-for-rent/den-haag/630e083f/franklinstraat,55,3,Upholstered,,,2562CH,2021-08-16
11,1295,2586 VK Den Haag (Scheveningen Badplaats),Apartment Katwijkstraat,A&N Vastgoed,/apartment-for-rent/den-haag/0eaf71bf/katwijkstraat,65,2,Upholstered,,,2586VK,2021-08-16
12,1450,2587 HG Den Haag (Belgisch Park),Apartment Bosschestraat,A&N Vastgoed,/apartment-for-rent/den-haag/f6dd4811/bosschestraat,86,3,Upholstered,,,2587HG,2021-08-16
13,975,2521 EJ Den Haag (Laakhaven-Oost),Apartment Leemansplein,Wooove B.V.,/apartment-for-rent/den-haag/fcb43600/leemansplein,71,2,,,,2521EJ,2021-08-16
14,1006,2521 CT Den Haag (Laakhaven-Oost),Apartment Leeghwaterplein,Wooove B.V.,/apartment-for-rent/den-haag/c6b14e20/leeghwaterplein,63,3,,,,2521CT,2021-08-16
15,880,2522 LH Den Haag (Laakkwartier-West),House De Genestetlaan,070Wonen,/house-for-rent/den-haag/373fe770/de-genestetlaan,35,2,,,,2522LH,2021-08-16
16,1450,2586 SX Den Haag (Visserijbuurt),Apartment Heemraadstraat,Homeland Real Estate,/apartment-for-rent/den-haag/5d7cc1d8/heemraadstraat,80,4,Upholstered,,,2586SX,2021-08-16
17,1950,2513 BH Den Haag (Kortenbos),Apartment Molenstraat,Reichman & Rommelaar Den Haag,/apartment-for-rent/den-haag/f2dc739e/molenstraat,49,3,Upholstered or furnished,,,2513BH,2021-08-16
18,1111,2521 EJ Den Haag (Laakhaven-Oost),Apartment Leemansplein,Wooove B.V.,/apartment-for-rent/den-haag/47ed429b/leemansplein,77,3,,,,2521EJ,2021-08-16
19,1975,2582 EN Den Haag (Statenkwartier),Apartment Willem de Zwijgerlaan 6,Steenks & Van Deelen makelaars - taxateurs,/apartment-for-rent/den-haag/89d1b4a6/willem-de-zwijgerlaan,99,3,Upholstered,56,,2582EN,2021-08-16
20,2500,2514 CJ Den Haag (Voorhout),Apartment Denneweg 60,The Real Estate Company,/apartment-for-rent/den-haag/61c87f15/denneweg,110,3,Upholstered,,,2514CJ,2021-08-16
21,1200,2514 LA Den Haag (Willemspark),Apartment Frederikstraat,Hulshof Makelaars,/apartment-for-rent/den-haag/db59f00d/frederikstraat,58,1,,,,2514LA,2021-08-16
22,945,2518 LD Den Haag (Rond de Energiecentrale),Apartment Van Boecopkade,Rent an Apartment,/apartment-for-rent/den-haag/bfbea07a/van-boecopkade,50,2,Upholstered,,,2518LD,2021-08-16
