,price,address,street,agency,irl,Living area,Rooms,interior,Year of construction,garden area,plot area,postcode,date
0,1295,2584 TS Den Haag (Oud Scheveningen),Apartment Roerstraat,A&N Vastgoed,/apartment-for-rent/den-haag/821c8382/roerstraat,56,2,Furnished,,,,2584TS,2021-08-18
1,1300,2593 CT Den Haag (Bezuidenhout-Oost),Apartment Johannes Camphuijsstraat,Huisportaal.nl,/apartment-for-rent/den-haag/26edc9a3/johannes-camphuijsstraat,90,4,Upholstered,1934,,,2593CT,2021-08-18
2,1900,2594 AC Den Haag (Bezuidenhout-West),Apartment Bezuidenhoutseweg 95 D,The Hague Real Estate Services,/apartment-for-rent/den-haag/b88aa0bd/bezuidenhoutseweg,170,4,Upholstered,1889,,,2594AC,2021-08-18
3,1750,2513 BM Den Haag (Kortenbos),Apartment Korte Molenstraat 17,The Hague Real Estate Services,/apartment-for-rent/den-haag/caac3be8/korte-molenstraat,120,3,Furnished,1936,,,2513BM,2021-08-18
4,2250,2595 DC Den Haag (Rivierenbuurt-Noord),Apartment Anna van Buerenplein,VERRA Real Estate,/apartment-for-rent/den-haag/b235c828/anna-van-buerenplein,101,3,Upholstered,2012,,,2595DC,2021-08-18
5,1950,2597 RV Den Haag (Duinzigt),Apartment Stalpertstraat,VERRA Real Estate,/apartment-for-rent/den-haag/b1d82b40/stalpertstraat,113,3,,1937,60,,2597RV,2021-08-18
6,825,2518 AE Den Haag (Zeeheldenkwartier),Apartment Bazarstraat,Rent Valley,/apartment-for-rent/den-haag/ab971a25/bazarstraat,35,2,Upholstered,1900,,,2518AE,2021-08-18
7,1150,2591 XJ Den Haag (Burgen en Horsten),Apartment Finnenburg 21 1,Projekthus,/apartment-for-rent/den-haag/bc614b20/finnenburg,75,3,Upholstered,,,,2591XJ,2021-08-18
8,1500,2514 GK Den Haag (Kortenbos),Apartment Noordeinde,Infinitas Real Estate,/apartment-for-rent/den-haag/27b295d4/noordeinde,85,3,Upholstered or furnished,1875,,,2514GK,2021-08-18
9,1150,2591 XJ Den Haag (Burgen en Horsten),Apartment Finnenburg,Immovita,/apartment-for-rent/den-haag/ba8440d3/finnenburg,76,3,Upholstered,,,,2591XJ,2021-08-18
10,1500,2514 GK Den Haag (Kortenbos),Apartment Noordeinde 56 3,Projekthus,/apartment-for-rent/den-haag/971db830/noordeinde,85,3,Furnished,,,,2514GK,2021-08-18
11,1750,2566 MT Den Haag (Bloemenbuurt-Oost),Apartment Sportlaan,Homeland Real Estate,/apartment-for-rent/den-haag/14fcad4d/sportlaan,75,4,Furnished,1965,,,2566MT,2021-08-18
12,1095,2593 ZM Den Haag (Bezuidenhout-Oost),Apartment Joan Maetsuyckerstraat 80,Avenir Vastgoed,/apartment-for-rent/den-haag/de635e6d/joan-maetsuyckerstraat,80,2,Upholstered,1951,,,2593ZM,2021-08-18
13,1150,2591 XJ Den Haag (Burgen en Horsten),Apartment Finnenburg 21,The Hague Real Estate Services,/apartment-for-rent/den-haag/44f4bc60/finnenburg,75,3,Upholstered,1993,,,2591XJ,2021-08-18
14,1500,2517 GS Den Haag (Sweelinckplein en omgeving),Apartment Sweelinckplein 73,The Hague Real Estate Services,/apartment-for-rent/den-haag/4610598f/sweelinckplein,105,2,,1898,18,,2517GS,2021-08-18
15,1495,2513 EC Den Haag (Kortenbos),Apartment Noordwal,Rotsvast Den Haag,/apartment-for-rent/den-haag/aaf81052/noordwal,75,3,Furnished,1987,,,2513EC,2021-08-18
16,1600,2511 CD Den Haag (Uilebomen),Apartment Korte Houtstraat 20 D,Expat & Real Estate B.V.,/apartment-for-rent/den-haag/3ea09140/korte-houtstraat,75,3,Furnished,Before 1906,,,2511CD,2021-08-18
17,1500,2514 GK Den Haag (Kortenbos),Apartment Noordeinde 56 C,Onesta Vastgoed,/apartment-for-rent/den-haag/271f3e1b/noordeinde,85,3,Furnished,1906-1930,,,2514GK,2021-08-18
18,1480,2547 JV Den Haag (Leyenburg),Apartment Nieuwendamlaan,Oost West Makelaars & Consultancy,/apartment-for-rent/den-haag/4cd666aa/nieuwendamlaan,92,5,,1960-1970,,,2547JV,2021-08-18
19,1500,2514 GK Den Haag (Voorhout),Apartment Noordeinde,Immovita,/apartment-for-rent/den-haag/fb0a1210/noordeinde,85,2,Furnished,,,,2514GK,2021-08-18
20,1750,2513 BM Den Haag (Kortenbos),Apartment Korte Molenstraat 24 *,The Hague Real Estate Services,/apartment-for-rent/den-haag/0c30280d/korte-molenstraat,115,3,Furnished,1910,,,2513BM,2021-08-18
21,1500,2583 EK Den Haag (Vissershaven),House Westduinweg,070Wonen,/house-for-rent/den-haag/70d73704/westduinweg,82,4,,1934,35,,2583EK,2021-08-18
22,2150,2584 BA Den Haag (Scheveningen Badplaats),Apartment Keizerstraat 17,Expat & Real Estate B.V.,/apartment-for-rent/den-haag/36c12ba1/keizerstraat,120,4,Furnished,1916,,,2584BA,2021-08-18
23,1295,2545 AE Den Haag (Morgenstond-West),Apartment Dedemsvaartweg,123Wonen Den Haag,/apartment-for-rent/den-haag/1b24d7b2/dedemsvaartweg,81,3,Upholstered,2018,,,2545AE,2021-08-18
24,1950,2585 DH Den Haag (Archipelbuurt),Apartment Burgemeester De Monchyplein 168,Kimmel & Co. Makelaarskantoor o.g. b.v.,/apartment-for-rent/den-haag/c9dc50ce/burgemeester-de-monchyplein,105,3,,2001-2010,16,,2585DH,2021-08-18
25,950,2511 VD Den Haag (Voorhout),Apartment Bleijenburg,Immovita,/apartment-for-rent/den-haag/727c1b9e/bleijenburg,52,2,Upholstered,2000,,,2511VD,2021-08-18
26,1995,2525 AX Den Haag (Schildersbuurt-West),Apartment Van de Veldestraat,Hoeksteen Makelaardij,/apartment-for-rent/den-haag/a2b3e69e/van-de-veldestraat,120,6,,,,,2525AX,2021-08-18
27,1425,2518 CN Den Haag (Zeeheldenkwartier),Apartment Witte de Withstraat 1 C,The Real Estate Company,/apartment-for-rent/den-haag/86920f81/witte-de-withstraat,78,2,Furnished,1920,,,2518CN,2021-08-18
28,1650,2511 GC Den Haag (Uilebomen),Apartment Muzenplein,Ineke Schokker Makelaardij o.g.,/apartment-for-rent/den-haag/9b7e5794/muzenplein,100,3,Furnished,1991-2000,,,2511GC,2021-08-18
29,2688,2595 SX Den Haag (Bezuidenhout-Midden),Apartment Carolina van Nassaustraat,Hello Housing,/apartment-for-rent/den-haag/c7265eab/carolina-van-nassaustraat,125,4,Upholstered or furnished,2001-2010,,,2595SX,2021-08-18
30,850,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/0dd69d88/hooftskade,31,2,,1850,,,2526KB,2021-08-18
31,925,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/8a5c65f5/hooftskade,42,2,,1850,,,2526KB,2021-08-18
32,795,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/ead98965/hooftskade,28,2,,1850,,,2526KB,2021-08-18
33,875,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/1dac52e6/hooftskade,31,2,,1850,,,2526KB,2021-08-18
34,1950,2597 CH Den Haag (Uilennest),Apartment Laan van Clingendael 154,The Hague Real Estate Services,/apartment-for-rent/den-haag/fc47ff68/laan-van-clingendael,105,3,Upholstered,1945,,,2597CH,2021-08-18
35,1095,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/0f8012ee/hooftskade,50,2,,1850,,,2526KB,2021-08-18
36,810,2526 KB Den Haag (Schildersbuurt-Noord),House Hooftskade,070Wonen,/house-for-rent/den-haag/a289aa68/hooftskade,27,2,,1850,,,2526KB,2021-08-18
37,1500,2597 AV Den Haag (Waalsdorp),Apartment Van Alkemadelaan 462,Voorberg Makelaars,/apartment-for-rent/den-haag/9f91e765/van-alkemadelaan,150,5,,1932,,,2597AV,2021-08-18
38,1100,2571 BA Den Haag (Heesterbuurt),Apartment Loosduinseweg,NumberXII Exclusive Real Estate,/apartment-for-rent/den-haag/9ba546b6/loosduinseweg,50,2,Upholstered,1911,,,2571BA,2021-08-18
39,2650,2581 TS Den Haag (Geuzenkwartier),Apartment Van Wesenbekestraat 57,Premium Huis Vastgoed B.V.,/apartment-for-rent/den-haag/b1857dc7/van-wesenbekestraat,120,4,Upholstered,1916,,,2581TS,2021-08-18
40,1090,2583 CP Den Haag (Vissershaven),Studio Dr. Lelykade,Homey Housing,/studio-for-rent/den-haag/82b3975c/dr-lelykade,26,1,Furnished,,,,2583CP,2021-08-18
41,850,2562 HR Den Haag (Valkenboskwartier),House Weimarstraat,070Wonen,/house-for-rent/den-haag/7cf5045a/weimarstraat,27,2,Upholstered,1910,,,2562HR,2021-08-18
42,2350,2597 XZ Den Haag (Uilennest),Apartment Hart Nibbrigkade 120,Estata Makelaars O.G.,/apartment-for-rent/den-haag/f860cbdc/hart-nibbrigkade,132,5,Upholstered,1938,,,2597XZ,2021-08-18
43,725,2571 AJ Den Haag (Rond de Energiecentrale),Apartment Loosduinseweg,Rent Valley,/apartment-for-rent/den-haag/16222426/loosduinseweg,25,2,Upholstered,1900,,,2571AJ,2021-08-18
44,895,2522 AD Den Haag (Laakkwartier-Oost),House Reinwardtstraat,Duinzigt Wonen B.V.,/house-for-rent/den-haag/ecb480be/reinwardtstraat,65,3,Upholstered,,,,2522AD,2021-08-18
45,895,2521 XH Den Haag (Laakkwartier-Oost),Apartment Laakkade,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/36654597/laakkade,65,3,Upholstered,,,,2521XH,2021-08-18
46,1350,2555 VX Den Haag (Rosenburg),Apartment Donker Curtiusstraat 204,Estata Makelaars O.G.,/apartment-for-rent/den-haag/a2d8f234/donker-curtiusstraat,75,3,Furnished,1994,,,2555VX,2021-08-18
47,1995,2514 CT Den Haag (Voorhout),Apartment Kazernestraat 40 C.,Estata Makelaars O.G.,/apartment-for-rent/den-haag/dda3fc2c/kazernestraat,120,3,Furnished,1981-1990,,,2514CT,2021-08-18
48,900,2518 KG Den Haag (Zeeheldenkwartier),Apartment Waldeck Pyrmontkade,Rotsvast Den Haag,/apartment-for-rent/den-haag/971032ca/waldeck-pyrmontkade,43,2,Upholstered,1907,,,2518KG,2021-08-18
49,1226,2521 CK Den Haag (Laakhaven-West),Apartment Waldorpstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/a01c1610/waldorpstraat,75,3,Upholstered,,,,2521CK,2021-08-18
