,price,address,street,agency,irl,Living area,Rooms,Year of construction,interior,garden area,plot area,postcode,date
0,2350,2586 CN Den Haag (Scheveningen Badplaats),Apartment Gevers Deynootplein,Sonar appartementen,/apartment-for-rent/den-haag/c4231ccf/gevers-deynootplein,125,4,1990,Upholstered,,,2586CN,2021-08-20
1,1075,2563 CS Den Haag (Valkenboskwartier),Apartment Valkenboslaan 192 B,Wooncompany Den Haag,/apartment-for-rent/den-haag/52047e37/valkenboslaan,55,3,1906,Upholstered,,,2563CS,2021-08-20
2,1250,2596 GC Den Haag (Nassaubuurt),Apartment Weissenbruchstraat,Wobeco Housing Agency,/apartment-for-rent/den-haag/81ca0ced/weissenbruchstraat,65,3,1926,Furnished,,,2596GC,2021-08-20
3,995,2565 KH Den Haag (Bomenbuurt),Studio Acaciastraat,Parkstone,/studio-for-rent/den-haag/6d66474b/acaciastraat,21,1,,Furnished,,,2565KH,2021-08-20
4,1250,2597 VA Den Haag (Duinzigt),Apartment Jan Muschlaan 106,Kimmel & Co. Makelaarskantoor o.g. b.v.,/apartment-for-rent/den-haag/9c7e6359/jan-muschlaan,103,3,1968,Upholstered,,,2597VA,2021-08-20
5,1495,2522 HT Den Haag (Laakkwartier-Oost),House Jan ten Brinkstraat,070Wonen,/house-for-rent/den-haag/64dd52dc/jan-ten-brinkstraat,72,4,1933,Upholstered,,,2522HT,2021-08-20
6,1150,2564 GZ Den Haag (Vruchtenbuurt),Apartment Laan van Eik en Duinen 242,De Haagsche Makelaar,/apartment-for-rent/den-haag/b669f7d7/laan-van-eik-en-duinen,87,2,1930,Upholstered,,,2564GZ,2021-08-20
7,1575,2518 JX Den Haag (Sweelinckplein en omgeving),Apartment Waldeck Pyrmontkade 949,De Haagsche Makelaar,/apartment-for-rent/den-haag/782515ee/waldeck-pyrmontkade,78,3,1900,Upholstered,,,2518JX,2021-08-20
8,1195,2587 CA Den Haag (Rijslag),Apartment Badhuisweg,Rent Valley,/apartment-for-rent/den-haag/b043b882/badhuisweg,65,2,2019,Upholstered,,,2587CA,2021-08-20
9,1850,2548 WD Den Haag (Lage Veld),House Jutland,Interhouse verhuurmakelaars Den Haag,/house-for-rent/den-haag/fb8fd59b/jutland,165,6,,Upholstered,,,2548WD,2021-08-20
10,1800,2517 ED Den Haag (Stadhoudersplantsoen),Apartment Groot Hertoginnelaan 79,Stokman Van Duren Makelaars Taxateurs,/apartment-for-rent/den-haag/55ea0df3/groot-hertoginnelaan,93,4,1895,Furnished,,,2517ED,2021-08-20
