,price,address,street,agency,irl,Living area,Rooms,Year of construction,interior,status,plot area,garden area,postcode,date
0,1100,3816 MN Amersfoort (Randenbroekerweg),Apartment Van der Glashof 7,ViaDaan,/apartment-for-rent/amersfoort/1f0480a1/van-der-glashof,60,2,2000,Upholstered,,,,3816MN,2021-08-23
1,1600,9712 LK Groningen (Hortusbuurt-Ebbingekwartier),Apartment Boterdiep,Compas Vastgoed,/apartment-for-rent/groningen/cff261bf/boterdiep,73,3,1949,,,,,9712LK,2021-08-23
2,1275,4611 MZ Bergen op Zoom (Centrum),Apartment Franciscusberg,Rent Estate,/apartment-for-rent/bergen-op-zoom/bb038336/franciscusberg,75,3,,Furnished,,,,4611MZ,2021-08-23
3,1250,4611 NR Bergen op Zoom (Centrum),Apartment Grote Markt,Rent Estate,/apartment-for-rent/bergen-op-zoom/b3776fde/grote-markt,70,2,,Furnished,,,,4611NR,2021-08-23
4,1300,6219 NM Maastricht (Boschpoort),House Jaagpad Oost,Het Hoofse Huis,/house-for-rent/maastricht/e3d962e4/jaagpad-oost,51,3,,Upholstered,,,,6219NM,2021-08-23
5,,4205 LS Gorinchem (Stalkaarsen),Apartment Dokter van Stratenweg,Trijs & Partners,/apartment-for-rent/gorinchem/186d051d/dokter-van-stratenweg,90,4,1976,Furnished,,,,4205LS,2021-08-23
6,1250,4101 NR Culemborg (Noordoostelijke Buitenwijken),Apartment Lange Dreef,Trijs & Partners,/apartment-for-rent/culemborg/0d633e47/lange-dreef,60,2,1988,Furnished,,,,4101NR,2021-08-23
7,1825,1079 VN Amsterdam (Rijnbuurt),Apartment Waverstraat,Expatservice Amsterdam,/apartment-for-rent/amsterdam/0e8ceace/waverstraat,85,3,,Upholstered,,,,1079VN,2021-08-23
8,925,6541 SL Nijmegen (Biezen),Apartment Voorstadslaan,SOOF Verhuurmakelaar,/apartment-for-rent/nijmegen/dc545b70/voorstadslaan,50,2,,Furnished,,,,6541SL,2021-08-23
9,4500,1075 HL Amsterdam (Willemspark),Apartment De Lairessestraat,Relocation Advisers B.V.,/apartment-for-rent/amsterdam/a42361dc/de-lairessestraat,227,4,,Upholstered or furnished,,,,1075HL,2021-08-23
10,2500,2514 CJ Den Haag (Voorhout),Apartment Denneweg 60 B,The Real Estate Company,/apartment-for-rent/den-haag/ad255775/denneweg,110,3,1900,,,,,2514CJ,2021-08-23
11,1350,3051 LS Rotterdam (Hillegersberg Zuid),Apartment Rozenlaan 38 B,NEXT Beheer,/apartment-for-rent/rotterdam/8cf1aaf8/rozenlaan,100,3,1931,Upholstered,,,,3051LS,2021-08-23
12,1650,1073 CN Amsterdam (Oude Pijp),Apartment Sarphatipark,Hausing,/apartment-for-rent/amsterdam/0088bdff/sarphatipark,50,2,1903,,,,,1073CN,2021-08-23
13,1500,1058 PC Amsterdam (Hoofddorppleinbuurt),Apartment Hoofddorpweg 30 I,Hollandsche Makelaardij,/apartment-for-rent/amsterdam/f0cf9c64/hoofddorpweg,54,2,1927,Shell,,,,1058PC,2021-08-23
14,1300,2353 TG Leiderdorp (Winkelhof),Apartment Obool 42,EasyMakelaars,/apartment-for-rent/leiderdorp/a0d86996/obool,60,2,1978,Furnished,,,,2353TG,2021-08-23
15,1150,2511 AX Den Haag (Kortenbos),Apartment Schoolstraat 24 C,NN Vastgoedmanagement,/apartment-for-rent/den-haag/7bbf546f/schoolstraat,85,3,1900,Shell,,,,2511AX,2021-08-23
