,price,address,street,agency,irl,image,Living area,Rooms,interior,status,Year of construction,plot area,garden area,postcode,date
0,2000,3063 BX Rotterdam (Struisenburg),Apartment Specerijenhof,Dop & Dop Consultancy,/apartment-for-rent/rotterdam/e0b6f70b/specerijenhof,https://casco-media-prod.global.ssl.fastly.net/e0b6f70b-2257-5f3d-bff3-70f3b46c90e5/60b27f162f9e6465e67f3bdd1fffd204.jpg?width=600&auto=webp,89,3,Furnished,,,,,3063BX,2021-08-25
1,1495,5301 EN Zaltbommel (Zaltbommel Binnenstad),Apartment Oenselsestraat,Nu-huren.nl,/apartment-for-rent/zaltbommel/85af9e3f/oenselsestraat,https://casco-media-prod.global.ssl.fastly.net/85af9e3f-4859-5e7a-955b-f00b30808ea1/af91f29ab65de7fbae8489f5c9dd9900.jpg?width=600&auto=webp,120,4,Upholstered,,2001,,,5301EN,2021-08-25
2,2495,1183 KT Amstelveen (Boekenbuurt),Apartment De Roos van Dekama,ED Housing,/apartment-for-rent/amstelveen/dbaeb007/de-roos-van-dekama,https://casco-media-prod.global.ssl.fastly.net/dbaeb007-71b8-5e76-8db6-9d78d8a102c3/2b7ce94f6c1a7cc81ba9157b54b443ce.jpg?width=600&auto=webp,109,4,,,,,,1183KT,2021-08-25
3,1250,2515 NB Den Haag (Huygenspark),Apartment Kikkerstraat,The Real Estate Company,/apartment-for-rent/den-haag/86f6e0fb/kikkerstraat,https://casco-media-prod.global.ssl.fastly.net/86f6e0fb-c336-56f9-a8f3-5f640ba47d4f/587b3ee77f9e37411cd9a325e4d53b5b.jpg?width=600&auto=webp,40,2,Furnished,,1750,,,2515NB,2021-08-25
4,885,2518 TB Den Haag (Koningsplein en omgeving),House Van Merlenstraat,070Wonen,/house-for-rent/den-haag/fe985cfe/van-merlenstraat,https://casco-media-prod.global.ssl.fastly.net/fe985cfe-986c-5ebe-b9c0-214d6b696ed5/e9c50e9033f79e8c50d2453724a96db7.jpg?width=600&auto=webp,36,1,Upholstered,,1894,,,2518TB,2021-08-25
5,825,2282 CD Rijswijk (Oud-Rijswijk),House Kerklaan,070Wonen,/house-for-rent/rijswijk/88cef996/kerklaan,https://casco-media-prod.global.ssl.fastly.net/88cef996-fc93-5448-8152-15a6110cd560/32855ce198a99c017a3aa7f7f610796a.jpg?width=600&auto=webp,38,2,,,1932,,,2282CD,2021-08-25
6,1295,2586 BL Den Haag (Scheveningen Badplaats),Apartment Gevers Deynootweg,A&N Vastgoed,/apartment-for-rent/den-haag/0c6e7d8f/gevers-deynootweg,https://casco-media-prod.global.ssl.fastly.net/0c6e7d8f-e432-5488-ac8f-ab4c2099ab8b/290c4a82816703752683351a789cc248.jpg?width=600&auto=webp,36,2,Furnished,,,,,2586BL,2021-08-25
7,1250,2011 RZ Haarlem (Bakenes),Apartment Zuider Schoolsteeg,Haarlem Real Estate,/apartment-for-rent/haarlem/0f9ababb/zuider-schoolsteeg,https://media.pararius.nl/image/PR0001658000/PR0001658000/image/jpeg/400x600/HaarlemZuiderSchoolsteeg-9aac_1.jpg,55,2,Furnished,,,,,2011RZ,2021-08-25
8,1149,3031 BB Rotterdam (Rubroek),Apartment Boezemkade,Van 't Hof Rijnland Vastgoedmanagement,/apartment-for-rent/rotterdam/78624808/boezemkade,https://casco-media-prod.global.ssl.fastly.net/78624808-e407-5ed1-b017-da81f5f73d3a/d92e49a41e881a2f0f7b5ee429728131.jpg?width=600&auto=webp,76,3,,,2005,,,3031BB,2021-08-25
9,1400,2042 GJ Zandvoort (Brederode- Gerkestraat e.o.),Apartment Hogeweg,Momo Makelaardij en Vastgoed B.V.,/apartment-for-rent/zandvoort/fb46becd/hogeweg,https://casco-media-prod.global.ssl.fastly.net/fb46becd-0d5e-586c-b81e-9c9e6aa10d90/5e7903338ad83a1aa301e4815fc881bf.jpg?width=600&auto=webp,55,2,Upholstered or furnished,,1984,,,2042GJ,2021-08-25
10,2295,2743 DV Waddinxveen (Zuidplas 80),House Bonenakker 36,The Real Estate Company,/house-for-rent/waddinxveen/e1c7dde0/bonenakker,https://casco-media-prod.global.ssl.fastly.net/e1c7dde0-8a7b-5e65-aea6-a333610a6c4e/16d8ccb3a88ee4b51916e785c03f20fe.jpg?width=600&auto=webp,110,5,,,1984,125 m²,,2743DV,2021-08-25
