,price,address,street,agency,irl,image,Living area,Rooms,Year of construction,interior,status,garden area,plot area,postcode,date
0,1495,5301 EN Zaltbommel (Zaltbommel Binnenstad),Apartment Oenselsestraat,Nu-huren.nl,/apartment-for-rent/zaltbommel/85af9e3f/oenselsestraat,https://casco-media-prod.global.ssl.fastly.net/85af9e3f-4859-5e7a-955b-f00b30808ea1/af91f29ab65de7fbae8489f5c9dd9900.jpg?width=600&auto=webp,120,4,2001,Upholstered,,,,5301EN,2021-08-30
1,1250,2021 HM Haarlem (Patrimoniumbuurt),Apartment Schoterweg,Hamilton Vastgoed,/apartment-for-rent/haarlem/dc04797a/schoterweg,https://casco-media-prod.global.ssl.fastly.net/dc04797a-2bf0-5ff4-976c-bf72d0df77a2/2e412d36703a4b0ab657dfe5c8f13229.jpg?width=600&auto=webp,50,2,,,,,,2021HM,2021-08-30
2,1400,2451 AC Leimuiden (Leimuiden),Apartment Dokter Stapenséastraat,Amsterdam Rental Homes,/apartment-for-rent/leimuiden/b7e4bfd9/dokter-stapenseastraat,https://media.pararius.nl/image/PR0001658000/PR0001658071/image/jpeg/400x600/LeimuidenDokterStapenseastraat-924d_1.jpg,82,3,,Upholstered or furnished,,8,,2451AC,2021-08-30
3,850,5694 NJ Son en Breugel (Breugel),Studio Keske 5,Housing ter Veer,/studio-for-rent/son-en-breugel/a5af69f5/keske,https://media.pararius.nl/image/PR0001658000/PR0001658070/image/jpeg/400x600/SonenBreugelKeske-0c2a_1.jpg,40,1,1940,Furnished,,,,5694NJ,2021-08-30
4,1024,4818 RE Breda (Zandberg),Apartment Baronielaan 156,A.A.Kuijper Vastgoed Verhuur,/apartment-for-rent/breda/e743dcb0/baronielaan,https://media.pararius.nl/image/PR0001658000/PR0001658069/image/jpeg/400x600/BredaBaronielaan-339c_1.jpg,65,2,,Upholstered,,,,4818RE,2021-08-30
5,2850,1181 EC Amstelveen (Randwijck West),House Graaf Janlaan 14,Renthouse Vastgoed,/house-for-rent/amstelveen/993bf1fa/graaf-janlaan,https://media.pararius.nl/image/PR0001658000/PR0001658068/image/jpeg/400x600/AmstelveenGraafJanlaan-f85a_1.jpg,160,5,,Upholstered,,,,1181EC,2021-08-30
6,1125,2726 KR Zoetermeer (De Leyens),Apartment Medeaschouw,HouseConnect,/apartment-for-rent/zoetermeer/6482c40e/medeaschouw,https://media.pararius.nl/image/PR0001658000/PR0001658067/image/jpeg/400x600/ZoetermeerMedeaschouw-9b28_1.jpg,65,3,1935,Upholstered,,,,2726KR,2021-08-30
7,525,2571 AJ Den Haag (Rond de Energiecentrale),Studio Loosduinseweg 619 C,HouseConnect,/studio-for-rent/den-haag/507de31d/loosduinseweg,https://media.pararius.nl/image/PR0001658000/PR0001658066/image/jpeg/400x600/DenHaagLoosduinseweg-4dad_1.jpg,28,1,1937,Upholstered,,,,2571AJ,2021-08-30
8,2300,3051 NL Rotterdam (Hillegersberg Zuid),Apartment Orchideestraat,Allround Apartments,/apartment-for-rent/rotterdam/7e201842/orchideestraat,https://casco-media-prod.global.ssl.fastly.net/7e201842-78f0-5655-817b-5c89a8162001/eb9f20ade44cfd5ce001fc11e704c178.jpg?width=600&auto=webp,93,5,1931,,,,,3051NL,2021-08-30
9,1250,6227 BM Maastricht (Heer),Apartment Dorpstraat,Rotsvast Maastricht,/apartment-for-rent/maastricht/0c862b08/dorpstraat,https://casco-media-prod.global.ssl.fastly.net/0c862b08-c370-5ae6-8ff7-0d51dd71cfda/1f44362d7e1e66df058d04bae7fd582a.jpg?width=600&auto=webp,85,2,,Furnished,,,,6227BM,2021-08-30
10,696,2521 CJ Den Haag (Laakhaven-West),Apartment Waldorpstraat,Duinzigt Wonen B.V.,/apartment-for-rent/den-haag/819e0554/waldorpstraat,https://casco-media-prod.global.ssl.fastly.net/819e0554-00d0-57a4-8dbd-b4abf1337ea2/c6685c3c8f12e7ecde2abf915494711d.jpg?width=600&auto=webp,28,1,,Upholstered,,,,2521CJ,2021-08-30
11,1650,3011 XA Rotterdam (Stadsdriehoek),Apartment Bierstraat,Riva Rentals,/apartment-for-rent/rotterdam/2824f3c5/bierstraat,https://casco-media-prod.global.ssl.fastly.net/2824f3c5-eedd-5d6c-8bdf-098535d09e6f/966d91d205857234e0ab43247d2c069b.jpg?width=600&auto=webp,92,4,2002,Furnished,,,,3011XA,2021-08-30
12,425,6815 BL Arnhem (Alteveer/Cranevelt),Room Beethovenlaan,1huis Makelaars,/room-for-rent/arnhem/970904f8/beethovenlaan,https://casco-media-prod.global.ssl.fastly.net/970904f8-4b10-55ff-a89d-2ab59bffea0d/a779a5bd649ce36facc0fbe9237f0476.jpg?width=600&auto=webp,20,1,,Upholstered,,,,6815BL,2021-08-30
13,800,4531 BJ Terneuzen (Binnenstad-Java),Apartment 2e Verbindingsstraat,Hopmans Wonen,/apartment-for-rent/terneuzen/f3908fa0/2e-verbindingsstraat,https://casco-media-prod.global.ssl.fastly.net/f3908fa0-3351-5e3a-9e96-fac6452b6c07/e840643f10cd91d963c9ca242e5c833a.jpg?width=600&auto=webp,36,2,1906,Furnished,,,,4531BJ,2021-08-30
14,1100,2518 EW Den Haag (Zeeheldenkwartier),Apartment Van Speijkstraat 47,Wooncompany Den Haag,/apartment-for-rent/den-haag/3d8113e2/van-speijkstraat,https://casco-media-prod.global.ssl.fastly.net/3d8113e2-f413-5332-aec8-086e9c88b1d3/8e7d43326be107d52215af0bc052c24c.jpg?width=600&auto=webp,60,2,1888,Upholstered,,,,2518EW,2021-08-30
15,1175,2518 GL Den Haag (Zeeheldenkwartier),Apartment Zoutmanstraat,Wooncompany Den Haag,/apartment-for-rent/den-haag/80f54289/zoutmanstraat,https://casco-media-prod.global.ssl.fastly.net/80f54289-dd8d-5c73-9b77-b4cad69b8871/f95ffcc97835a3acf02f9f8c387bdf6c.jpg?width=600&auto=webp,55,2,1880,Upholstered,,,,2518GL,2021-08-30
16,1350,1054 WP Amsterdam (Overtoomse Sluis),Apartment Wilhelminastraat,Michiel Stolker Real Estate,/apartment-for-rent/amsterdam/2d25b764/wilhelminastraat,https://media.pararius.nl/image/PR0001658000/PR0001658065/image/jpeg/400x600/AmsterdamWilhelminastraat-96fb_1.jpg,50,2,,Upholstered,,,,1054WP,2021-08-30
17,752,6412 XX Heerlen (Schandelen),Apartment Drieschstraat,Housing 4 You,/apartment-for-rent/heerlen/92994fbf/drieschstraat,https://casco-media-prod.global.ssl.fastly.net/92994fbf-22bd-5729-aafd-755a903eabaa/21d86c71c4a9a5179474934fa19c0b63.jpg?width=600&auto=webp,70,3,,Upholstered,,,,6412XX,2021-08-30
18,660,5651 EZ Eindhoven (Drents Dorp),Room Koenraadlaan 104 1,Regio56 Makelaars & Huisvesting ,/room-for-rent/eindhoven/b284c805/koenraadlaan,https://casco-media-prod.global.ssl.fastly.net/b284c805-8804-5e9f-8721-a7b40bbfb3f5/13aadef0c9a59f37bdd639f5d560cc66.jpg?width=600&auto=webp,24,1,,Upholstered or furnished,,,,5651EZ,2021-08-30
19,1080,5615 PT Eindhoven (Schrijversbuurt),Apartment Hoogstraat,HouseHunting Eindhoven,/apartment-for-rent/eindhoven/1c204b36/hoogstraat,https://casco-media-prod.global.ssl.fastly.net/1c204b36-4c27-5798-869e-291dc8ed9733/2b8ba926c65d1be0f050d1c5c67c9412.jpg?width=600&auto=webp,58,2,2014,Upholstered,,,,5615PT,2021-08-30
20,2450,3511 BN Utrecht (Hoog-Catharijne NS en Jaarbeurs),Apartment Hollandse Toren,B&S Rental Service,/apartment-for-rent/utrecht/86974e94/hollandse-toren,https://casco-media-prod.global.ssl.fastly.net/86974e94-c823-5606-a58d-8a30ccc3a163/674782dc252a81e09ad033432d6ebe20.jpg?width=600&auto=webp,120,4,2011,Furnished,,,,3511BN,2021-08-30
21,1700,1053 BZ Amsterdam (Kinkerbuurt),Apartment Ten Katestraat 65 2,Ukon Estate,/apartment-for-rent/amsterdam/cf486aca/ten-katestraat,https://media.pararius.nl/image/PR0001658000/PR0001658064/image/jpeg/400x600/AmsterdamTenKatestraat-3208_1.jpg,55,2,1894,Furnished,,,,1053BZ,2021-08-30
22,895,1211 PM Hilversum (Sint Vitusbuurt),Apartment Kerklaan 1 A7,Brick Brokers,/apartment-for-rent/hilversum/d0e919f2/kerklaan,https://casco-media-prod.global.ssl.fastly.net/d0e919f2-7ede-535a-8922-1b77369169c6/5e0da6caaa29fb5b5c7240bdab230f4c.jpg?width=600&auto=webp,45,2,,,,,,1211PM,2021-08-30
23,300,1211 GP Hilversum (Sint Vitusbuurt),Room Wandelpad 58 3,Brick Brokers,/room-for-rent/hilversum/576da4c7/wandelpad,https://casco-media-prod.global.ssl.fastly.net/576da4c7-5a1f-5d60-b6bc-223062377c92/598da3f508076866a061c4114d2ca62b.jpg?width=600&auto=webp,8,1,,Upholstered,,,,1211GP,2021-08-30
24,715,7552 WR Hengelo (Groot Driene-Noord),Apartment H.C. Pootstraat,Bricks Twente,/apartment-for-rent/hengelo/8a82fbbd/h-c-pootstraat,https://casco-media-prod.global.ssl.fastly.net/8a82fbbd-4dbd-5b33-8601-9f17206396a6/d156282e37654128ee7427bb1038b925.jpg?width=600&auto=webp,78,2,,Upholstered,,,,7552WR,2021-08-30
25,1350,1015 ML Amsterdam (Jordaan),Studio Westerstraat,Michiel Stolker Real Estate,/studio-for-rent/amsterdam/b9e3ecc0/westerstraat,https://media.pararius.nl/image/PR0001658000/PR0001658063/image/jpeg/400x600/AmsterdamWesterstraat-6bee_1.jpg,30,1,,Upholstered,,,,1015ML,2021-08-30
26,1020,1216 HS Hilversum (Kerkelanden),Apartment Kapittelweg,Interhouse verhuurmakelaars Hilversum & Almere,/apartment-for-rent/hilversum/d376cff6/kapittelweg,https://casco-media-prod.global.ssl.fastly.net/d376cff6-d27f-5384-b281-91e04c0135f8/4eb545b30cb2fa7d82fd4bcf7cbdc5a6.jpg?width=600&auto=webp,60,2,,Upholstered,,,,1216HS,2021-08-30
27,895,1211 AS Hilversum (Langgewenstbuurt),Apartment Koninginneweg,Woonhuis O/G,/apartment-for-rent/hilversum/b43fe5bc/koninginneweg,https://casco-media-prod.global.ssl.fastly.net/b43fe5bc-4be3-59b3-b6aa-336e34c2d350/e936f2defbf7a37e2d572d39b0594eaa.jpg?width=600&auto=webp,55,2,,Upholstered,,,,1211AS,2021-08-30
28,1350,2586 BL Den Haag (Scheveningen Badplaats),Apartment Gevers Deynootweg,A&N Vastgoed,/apartment-for-rent/den-haag/c3881f3a/gevers-deynootweg,https://casco-media-prod.global.ssl.fastly.net/c3881f3a-ec69-5344-8658-54b82c91aff1/137acc01ce147eb4c379afb85f30a181.jpg?width=600&auto=webp,34,2,,Furnished,,,,2586BL,2021-08-30
