,price,address,street,agency,irl,image,Living area,Rooms,interior,status,garden area,Year of construction,plot area,postcode,date
0,1700,1071 VW Amsterdam (Museumkwartier),Apartment Cornelis Anthoniszstraat 56 II,Amsterdam Housing,/apartment-for-rent/amsterdam/6779ffac/cornelis-anthoniszstraat,https://casco-media-prod.global.ssl.fastly.net/6779ffac-500f-5994-9cc6-e02f40792add/dcd35be337bf7543fb714cee833ffe55.jpg?width=600&auto=webp,65,3,Furnished,,,,,1071VW,2021-10-01
1,1595,3023 KP Rotterdam (Nieuwe Westen),Apartment Hooidrift,Perfectrent,/apartment-for-rent/rotterdam/a09bdbf2/hooidrift,https://casco-media-prod.global.ssl.fastly.net/a09bdbf2-09aa-5bc7-b0bb-d30bb83df17a/96c17a1e4e8d872300a5f9cf977fde62.jpg?width=600&auto=webp,95,3,Upholstered,,,,,3023KP,2021-10-01
2,1108,"3572 BR Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)",Apartment Biltstraat,Domvast,/apartment-for-rent/utrecht/1683e377/biltstraat,https://casco-media-prod.global.ssl.fastly.net/1683e377-8180-585f-b7c5-988b88401d92/0d93c69e2e63da664e1d50fbf120c13d.jpg?width=600&auto=webp,37,2,,,100,,,3572BR,2021-10-01
3,1550,1054 AN Amsterdam (Helmersbuurt),Apartment Bosboom Toussaintstraat 31 II,Rappange Makelaardij,/apartment-for-rent/amsterdam/33ad19f1/bosboom-toussaintstraat,https://casco-media-prod.global.ssl.fastly.net/33ad19f1-defe-5b3d-8cf9-22e2048ae3a6/3ac7b0f1640f99403f6da9e38496428f.jpg?width=600&auto=webp,50,2,Upholstered,,,,,1054AN,2021-10-01
4,1500,2012 NA Haarlem (Florapark),Apartment Wagenweg,Hofzicht Makelaars,/apartment-for-rent/haarlem/839fbb8c/wagenweg,https://media.pararius.nl/image/PR0001658000/PR0001658790/image/jpeg/400x600/HaarlemWagenweg-dc45_1.jpg,80,2,Upholstered,,,,,2012NA,2021-10-01
5,1650,1112 ZK Diemen (Holland Park),Apartment Carel Willinkgracht,ESTATEC,/apartment-for-rent/diemen/c1216bec/carel-willinkgracht,https://casco-media-prod.global.ssl.fastly.net/c1216bec-121c-5a4e-a85d-6ee8bb9a7529/8029542131e40f7c1718fac406ac8040.jpg?width=600&auto=webp,62,3,Furnished,,,,,1112ZK,2021-10-01
6,3250,1077 VL Amsterdam (Apollobuurt),Apartment Stadionkade,Relocation-Amsterdam,/apartment-for-rent/amsterdam/53d04f2f/stadionkade,https://casco-media-prod.global.ssl.fastly.net/53d04f2f-b176-57d6-ba38-5ecd719379ff/54bf21c6e47eebd3fe0fc15ca225fafa.jpg?width=600&auto=webp,129,4,Furnished,,,,,1077VL,2021-10-01
7,765,7311 SB Apeldoorn (Binnenstad),Apartment Kalverstraat 13,Heimstaden,/apartment-for-rent/apeldoorn/60c0b62d/kalverstraat,https://casco-media-prod.global.ssl.fastly.net/60c0b62d-ac51-5403-bd4f-60c4016c527b/9befd4f10417d84d956b0147a8e577a8.jpg?width=600&auto=webp,69,3,Shell,,,,,7311SB,2021-10-01
8,1650,2013 CD Haarlem (Garenkokerskwartier),House Roosveldstraat 58,Nu Woonruimte,/house-for-rent/haarlem/37c66a06/roosveldstraat,https://casco-media-prod.global.ssl.fastly.net/37c66a06-efda-5605-8f94-184d674ae332/3bef1a76e04491a575ed16684270f230.jpg?width=600&auto=webp,84,3,Furnished,,,,,2013CD,2021-10-01
9,2295,1012 KW Amsterdam (Burgwallen-Nieuwe Zijde),Apartment Rokin,Relocation-Amsterdam,/apartment-for-rent/amsterdam/e2773eca/rokin,https://casco-media-prod.global.ssl.fastly.net/e2773eca-5567-5094-bc0e-c467a89fdf00/842e5c971f84b8c58ae8c20c90d54c85.jpg?width=600&auto=webp,90,2,Furnished,,,,,1012KW,2021-10-01
