,price,address,street,agency,irl,image,status,postcode,date
0,1945,3581 NW Utrecht (Wilhelminapark en omgeving),Apartment Mecklenburglaan,VGW Housing,/apartment-for-rent/utrecht/0156b56e/mecklenburglaan,https://casco-media-prod.global.ssl.fastly.net/0156b56e-5ca5-54f3-821d-38f4d38a02bb/b3ed30e1bc9373d58ad020bc5cc49e07.jpg?width=600&auto=webp,,3581NW,2021-10-07
1,1895,3063 BX Rotterdam (Struisenburg),Apartment Specerijenhof,Dop & Dop Consultancy,/apartment-for-rent/rotterdam/e0b6f70b/specerijenhof,https://casco-media-prod.global.ssl.fastly.net/e0b6f70b-2257-5f3d-bff3-70f3b46c90e5/60b27f162f9e6465e67f3bdd1fffd204.jpg?width=600&auto=webp,,3063BX,2021-10-07
2,1495,2012 HM Haarlem (Florapark),Apartment Floraplein,BZ Wonen Huur en Verhuurmakelaars,/apartment-for-rent/haarlem/59927dfc/floraplein,https://media.pararius.nl/image/PR0001658000/PR0001658988/image/jpeg/400x600/HaarlemFloraplein-fe8d_1.jpg,,2012HM,2021-10-07
3,1050,5211 EA Den Bosch (Binnenstad-Centrum),Apartment Postelstraat 6 A,HertogWonen,/apartment-for-rent/den-bosch/66ceb5e9/postelstraat,https://media.pararius.nl/image/PR0001658000/PR0001658987/image/jpeg/400x600/DenBoschPostelstraat-c145_17.jpg,,5211EA,2021-10-07
4,600,3061 XN Rotterdam (Kralingen West),Room Aegidiusstraat 66 B,Kalender Verhuur,/room-for-rent/rotterdam/5961c7ea/aegidiusstraat,https://media.pararius.nl/image/PR0001658000/PR0001658986/image/jpeg/400x600/RotterdamAegidiusstraat-1a41_1.jpg,,3061XN,2021-10-07
5,1100,5643 TS Eindhoven (Burghplan),Apartment Geldropseweg,Brick Vastgoed,/apartment-for-rent/eindhoven/1ef20e25/geldropseweg,https://media.pararius.nl/image/PR0001658000/PR0001658985/image/jpeg/400x600/EindhovenGeldropseweg-fa2e_1.jpg,,5643TS,2021-10-07
6,1695,1057 DB Amsterdam (Hoofdweg e.o.),Apartment Hoofdweg,IdealEstate Housing Consultancy,/apartment-for-rent/amsterdam/d4cf34e6/hoofdweg,https://media.pararius.nl/image/PR0001658000/PR0001658984/image/jpeg/400x600/AmsterdamHoofdweg-d31d_1.jpg,,1057DB,2021-10-07
7,790,6162 EC Geleen (Geleen-Noord),Apartment Dr. Nolenshof 2,Wonen Limburg Accent,/apartment-for-rent/geleen/d722fc78/dr-nolenshof,https://media.pararius.nl/image/PR0001658000/PR0001658983/image/jpeg/400x600/GeleenDrNolenshof-fa01_1.jpg,,6162EC,2021-10-07
8,1395,5223 MJ Den Bosch (Paleiskwartier),Apartment Bordeslaan,HertogWonen,/apartment-for-rent/den-bosch/4841a2d7/bordeslaan,https://media.pararius.nl/image/PR0001658000/PR0001658982/image/jpeg/400x600/DenBoschBordeslaan-36e1_16.jpg,,5223MJ,2021-10-07
9,1195,3112 AJ Schiedam (Rotterdamsedijk),Apartment Rotterdamsedijk,Fransen Vastgoed,/apartment-for-rent/schiedam/8e38e076/rotterdamsedijk,https://media.pararius.nl/image/PR0001658000/PR0001658981/image/jpeg/400x600/SchiedamRotterdamsedijk-c805_1.jpg,,3112AJ,2021-10-07
