,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
0,1995,3011 XB Rotterdam (Stadsdriehoek),Apartment Boompjes,Fransen Vastgoed,/apartment-for-rent/rotterdam/b2788bae/boompjes,https://media.pararius.nl/image/PR0001658000/PR0001658268/image/jpeg/400x600/RotterdamBoompjes-39ab_11.jpg,72,,2,Furnished,,,,3011XB,2021-10-14
1,2500,2586 CR Den Haag (Scheveningen Badplaats),Apartment Gevers Deynootplein,Sonar appartementen,/apartment-for-rent/den-haag/7f14327f/gevers-deynootplein,https://casco-media-prod.global.ssl.fastly.net/7f14327f-e90a-5781-832c-58a65e9e2fef/521976143d7b7f525d9c0e806a246f9e.jpg?width=600&auto=webp,150,,4,Upholstered,,,,2586CR,2021-10-14
2,600,2342 AN Oegstgeest (Rhijngeest),Apartment Rhijngeesterstraatweg,Divorce Housing,/apartment-for-rent/oegstgeest/e35c50e6/rhijngeesterstraatweg,https://media.pararius.nl/image/PR0001659000/PR0001659162/image/jpeg/400x600/OegstgeestRhijngeesterstraatweg-2965_1.jpg,30,,2,Upholstered,,,,2342AN,2021-10-14
3,1050,5038 GV Tilburg (Bomenbuurt Midden),Apartment Boomstraat,P&D Housing,/apartment-for-rent/tilburg/6b8bc5f4/boomstraat,https://casco-media-prod.global.ssl.fastly.net/6b8bc5f4-3b29-5a4f-86d6-6ad9b7e4ddad/28d7be161374e463fa419ac0fcc34f6a.jpg?width=600&auto=webp,80,,3,Upholstered,,,,5038GV,2021-10-14
4,1050,2518 TT Den Haag (Zeeheldenkwartier),Apartment Roggeveenstraat 140,Kimmel & Co. Makelaarskantoor o.g. b.v.,/apartment-for-rent/den-haag/b2db1de5/roggeveenstraat,https://casco-media-prod.global.ssl.fastly.net/b2db1de5-3352-5fe7-ae89-c216b0491cf3/551dad2a876bda1f7b51831caa107436.jpg?width=600&auto=webp,43,,2,Upholstered,,,,2518TT,2021-10-14
5,2900,2518 VG Den Haag (Zeeheldenkwartier),Apartment Van Diemenstraat 164,Rent a Stone,/apartment-for-rent/den-haag/95c08590/van-diemenstraat,https://casco-media-prod.global.ssl.fastly.net/95c08590-3382-5410-b024-4b92c7dee36d/8fe2439f964ae311be0ac8a0d4a81e34.jpg?width=600&auto=webp,149,,6,,1900,,,2518VG,2021-10-14
6,1495,1506 CN Zaandam (Oud West),Apartment Vinkenstraat,Kuijs Reinder Kakes Zaandam,/apartment-for-rent/zaandam/eca0f467/vinkenstraat,https://casco-media-prod.global.ssl.fastly.net/eca0f467-88a2-5a78-8f03-9881c310c6fa/1cab0f4c6ac0ce8933917ad3097ff86a.jpg?width=600&auto=webp,68,,3,,2020,,,1506CN,2021-10-14
7,1600,2596 HL Den Haag (Arendsdorp),Apartment Raamweg 13 D,Mares Makelaars,/apartment-for-rent/den-haag/84df995e/raamweg,https://casco-media-prod.global.ssl.fastly.net/84df995e-331d-5c3b-83c0-17a001e07ded/b21cf07556cd3fae23a4a25f11b387ef.jpg?width=600&auto=webp,77,,2,,1914,,,2596HL,2021-10-14
8,2750,1018 ES Amsterdam (Weesperbuurt/Plantage),Apartment Amstel,Visch & Van Zeggelaar Amsterdam,/apartment-for-rent/amsterdam/5c1199ac/amstel,https://casco-media-prod.global.ssl.fastly.net/5c1199ac-9834-5341-b0ef-84dd3fd61917/f0e7eb8215d902ff927c5d09bd5df51b.jpg?width=600&auto=webp,82,,3,Furnished,,,,1018ES,2021-10-14
9,1450,1021 PR Amsterdam (IJplein/Vogelbuurt),Apartment Binnendraaierij,Visch & Van Zeggelaar Amsterdam,/apartment-for-rent/amsterdam/225b628b/binnendraaierij,https://casco-media-prod.global.ssl.fastly.net/225b628b-793c-5373-a2f4-ec025bc89eb9/752ce507c734b37eca1b648012aa5dab.jpg?width=600&auto=webp,62,,2,Upholstered,,,,1021PR,2021-10-14
10,1100,9725 JD Groningen (Herewegbuurt),House Willemstraat 52,Lucas Klamer Makelaardij,/house-for-rent/groningen/b2910031/willemstraat,https://casco-media-prod.global.ssl.fastly.net/b2910031-660c-54fd-adb3-485825f6c750/b1b142b2253acbcce0711edd16740a35.jpg?width=600&auto=webp,67,,2,,,32,,9725JD,2021-10-14
11,1500,1079 TM Amsterdam (Rijnbuurt),Apartment Trompenburgstraat 37 1,DSTRCT Amsterdam,/apartment-for-rent/amsterdam/51679c32/trompenburgstraat,https://casco-media-prod.global.ssl.fastly.net/51679c32-a679-5589-b2e5-7f493f480c25/ffa76bb1648acb079ccb44c499414c74.jpg?width=600&auto=webp,42,,3,,Before 1906,,,1079TM,2021-10-14
12,3050,3072 AP Rotterdam (Kop van Zuid),Apartment Wilhelminakade,Hello Housing,/apartment-for-rent/rotterdam/02914732/wilhelminakade,https://casco-media-prod.global.ssl.fastly.net/02914732-0cca-599c-98aa-532c40358d4b/f312a5c7e75546d30217d074640a2770.jpg?width=600&auto=webp,94,,3,Upholstered or furnished,,,,3072AP,2021-10-14
13,2359,2595 TL Den Haag (Bezuidenhout-Midden),Apartment Prinses Marijkestraat,Hello Housing,/apartment-for-rent/den-haag/1952a18b/prinses-marijkestraat,https://casco-media-prod.global.ssl.fastly.net/1952a18b-bb31-5cdc-85a8-fd837b96ca36/31d604739d6ab0b657d092204e75009c.jpg?width=600&auto=webp,102,,3,Upholstered or furnished,,,,2595TL,2021-10-14
14,2500,1181 GZ Amstelveen (Elsrijk Oost),Apartment Rembrandtweg 176,Keij & Stefels Makelaars en Taxateurs,/apartment-for-rent/amstelveen/51ffe269/rembrandtweg,https://casco-media-prod.global.ssl.fastly.net/51ffe269-2ac2-571f-9085-f483d7722b84/15b7b1cc7e83668d2fa540473de589ee.jpg?width=600&auto=webp,110,,3,Upholstered or furnished,,,,1181GZ,2021-10-14
15,1450,1017 NM Amsterdam (De Weteringschans),Apartment Lange Leidsedwarsstraat 88 B,Keij & Stefels Makelaars en Taxateurs,/apartment-for-rent/amsterdam/e1262c7f/lange-leidsedwarsstraat,https://casco-media-prod.global.ssl.fastly.net/e1262c7f-0f9d-5020-a8f9-d3c745273918/3e205046dfa7ff31ec0ed7c1b5bb37dc.jpg?width=600&auto=webp,50,,3,,Before 1906,,,1017NM,2021-10-14
16,1395,3016 DT Rotterdam (Nieuwe Werk),Apartment Gedempte Zalmhaven 408,Ooms Makelaars Woningen,/apartment-for-rent/rotterdam/dec2739c/gedempte-zalmhaven,https://casco-media-prod.global.ssl.fastly.net/dec2739c-7099-5072-8953-1adfaee28113/e8222b215f40a722c33d727f5ebf77c3.jpg?width=600&auto=webp,61,,2,,2021,,,3016DT,2021-10-14
17,1750,1078 EG Amsterdam (IJselbuurt),Apartment Churchill-laan 28 I,JLG Real Estate,/apartment-for-rent/amsterdam/e7052691/churchill-laan,https://casco-media-prod.global.ssl.fastly.net/e7052691-ca5e-5e0a-8d94-1c79ff50252e/a706def03378edeee0d209774c9a6368.jpg?width=600&auto=webp,68,,3,Upholstered,,,,1078EG,2021-10-14
18,1800,1078 EG Amsterdam (IJselbuurt),Apartment Churchill-laan 38 II,JLG Real Estate,/apartment-for-rent/amsterdam/11ab6037/churchill-laan,https://casco-media-prod.global.ssl.fastly.net/11ab6037-0fab-5404-84cc-112035f82132/8e7032e96b1b869fb20605533f3b6074.jpg?width=600&auto=webp,72,,4,Upholstered,,,,1078EG,2021-10-14
19,1000,6216 RB Maastricht (Belfort),Apartment Zeepziedersdreef 12 C,MIJN HUIS en ik,/apartment-for-rent/maastricht/c7600a28/zeepziedersdreef,https://casco-media-prod.global.ssl.fastly.net/c7600a28-30b5-5a41-b8f0-0cb833a22906/12039f4c91f7a5375ff5de441d69e9bc.jpg?width=600&auto=webp,80,,4,,1960-1970,,,6216RB,2021-10-14
20,1295,2011 EH Haarlem (Heiliglanden),House Klein Heiligland,Koops Makelaardij,/house-for-rent/haarlem/d72c05e9/klein-heiligland,https://casco-media-prod.global.ssl.fastly.net/d72c05e9-d443-5bd9-93c3-befe7ac0dcce/0fde0abba43f8d3eb0e79061b69c8590.jpg?width=600&auto=webp,50,,2,Upholstered,,,,2011EH,2021-10-14
21,2100,1071 BM Amsterdam (Museumkwartier),Apartment Pieter Cornelisz. Hooftstraat 37 1,IB Makelaars,/apartment-for-rent/amsterdam/27da6a00/pieter-cornelisz-hooftstraat,https://casco-media-prod.global.ssl.fastly.net/27da6a00-f23a-58a5-bb38-fd75549f0cb7/c01b8a73f7f10315f61f275f0013e799.jpg?width=600&auto=webp,70,,3,Upholstered or furnished,,,,1071BM,2021-10-14
22,1500,1111 AH Diemen (Centrum West),Apartment Arent Krijtsstraat 33 hs,IB Makelaars,/apartment-for-rent/diemen/747032fc/arent-krijtsstraat,https://casco-media-prod.global.ssl.fastly.net/747032fc-9b50-55fa-a179-9f2accd306c8/190ff3f79d47516037fbbe358d259d59.png?width=600&auto=webp,60,,3,Upholstered,,,,1111AH,2021-10-14
23,785,5915 CB Venlo (Jezuïtenbuurt),Apartment Leutherweg,Domica Venlo,/apartment-for-rent/venlo/9a4b9dc7/leutherweg,https://casco-media-prod.global.ssl.fastly.net/9a4b9dc7-8193-5a22-a37d-77908b4fc624/b14b5ca70f7c58720e3bf956f0908698.jpg?width=600&auto=webp,76,,3,,1925,,,5915CB,2021-10-14
24,2100,1061 MJ Amsterdam (De Kolenkit),Apartment Willem Augustinstraat,Real Estate Searchers,/apartment-for-rent/amsterdam/fd0c2a39/willem-augustinstraat,https://media.pararius.nl/image/PR0001659000/PR0001659161/image/jpeg/400x600/AmsterdamWillemAugustinstraat-0624_1.jpg,120,,4,Upholstered,,,,1061MJ,2021-10-14
25,620,6191 AA Beek (Beek),House Maastrichterlaan,Maasland Relocation,/house-for-rent/beek-lb/32d88ee4/maastrichterlaan,https://casco-media-prod.global.ssl.fastly.net/32d88ee4-f871-543e-9cbe-5708101a52ef/2fa18cd7d9aacc31c831e419d30e385c.jpg?width=600&auto=webp,25,,2,Shell,,,,6191AA,2021-10-14
26,1750,"8212 WE Lelystad (Hofstede, Plantage, Wijngaard)",Apartment Hofstede,Expats. Amsterdam Rentals,/apartment-for-rent/lelystad/a0f57057/hofstede,https://media.pararius.nl/image/PR0001659000/PR0001659160/image/jpeg/400x600/LelystadHofstede-3a56_9.jpg,101,,4,Shell,,,,8212WE,2021-10-14
27,1400,3971 NK Driebergen-Rijsenburg (Drift-Sportlaan en Bornia),Apartment Olympia 19,Guntenaar Wonen,/apartment-for-rent/driebergen-rijsenburg/b363244e/olympia,https://media.pararius.nl/image/PR0001659000/PR0001659159/image/jpeg/400x600/DriebergenRijsenburgOlympia-4e30_15.jpg,78,,3,Upholstered,,,,3971NK,2021-10-14
28,1299,1314 BL Almere (Staatsliedenwijk),Apartment Randstad 21,Zizzo BV,/apartment-for-rent/almere/8ed7f355/randstad-21,https://media.pararius.nl/image/PR0001659000/PR0001659158/image/jpeg/400x600/AlmereRandstad21-a0dc_1.jpg,142,,2,Furnished,,,,1314BL,2021-10-14
29,1270,2273 XZ Voorburg (Bovenveen noord),Apartment Prinses Beatrixlaan 555 A,Uppmark,/apartment-for-rent/voorburg/589c53f7/prinses-beatrixlaan,https://casco-media-prod.global.ssl.fastly.net/589c53f7-cec2-5bb8-ad76-be6dc4f11603/297fefa26ed96c3f509ed8d2f4c49d6f.png?width=600&auto=webp,87,,3,,2021-2030,,,2273XZ,2021-10-14
30,1220,2273 XZ Voorburg (Bovenveen noord),Apartment Prinses Beatrixlaan 554 C,Uppmark,/apartment-for-rent/voorburg/2e3672e9/prinses-beatrixlaan,https://casco-media-prod.global.ssl.fastly.net/2e3672e9-cc30-5186-8923-e69212425fb2/5a1272aed5b8878940acbc7ae105b524.png?width=600&auto=webp,81,,3,,2021-2030,,,2273XZ,2021-10-14
31,1350,2273 XZ Voorburg (Bovenveen noord),Apartment Prinses Beatrixlaan 556 B,Uppmark,/apartment-for-rent/voorburg/8e13c40a/prinses-beatrixlaan,https://casco-media-prod.global.ssl.fastly.net/8e13c40a-e54c-575c-b2a3-2e32b2ea8c2b/297fefa26ed96c3f509ed8d2f4c49d6f.png?width=600&auto=webp,97,,3,,2021-2030,,,2273XZ,2021-10-14
32,1455,6213 EG Maastricht (Wolder),Apartment Médoclaan,Star Housing,/apartment-for-rent/maastricht/fe660b22/medoclaan,https://casco-media-prod.global.ssl.fastly.net/fe660b22-952a-5320-a74a-2c1e6f9ef648/c1587e2151905c927e1ea35cb4abfa1e.jpg?width=600&auto=webp,82,,3,Upholstered,,,,6213EG,2021-10-14
33,2500,1018 AD Amsterdam (Oostelijke Eilanden/Kadijken),Apartment Entrepotdok,Out Amsterdam,/apartment-for-rent/amsterdam/54a2ff0e/entrepotdok,https://casco-media-prod.global.ssl.fastly.net/54a2ff0e-f43a-59c4-9728-fb8ab31ae838/3b775a99a836c6db83bc9515a1c7243d.jpg?width=600&auto=webp,128,,3,Furnished,,,,1018AD,2021-10-14
34,1750,1069 KE Amsterdam (Osdorp-Midden),Apartment Johan Hofmanstraat,Amsterdam Property Renting,/apartment-for-rent/amsterdam/2caf14a2/johan-hofmanstraat,https://media.pararius.nl/image/PR0001659000/PR0001659157/image/jpeg/400x600/AmsterdamJohanHofmanstraat-0e5c_12.jpg,96,,3,Furnished,,,,1069KE,2021-10-14
