,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,plot-size,construction-period,garden-surface-area,postcode,date
0,1195,3037 TD Rotterdam (Liskwartier),Apartment Willebrordusplein,Perfectrent,/apartment-for-rent/rotterdam/940dddf5/willebrordusplein,https://casco-media-prod.global.ssl.fastly.net/940dddf5-a6c0-5913-ac19-84f59bb22077/c09f75f1807256005e294e604f2e617d.jpg?width=600&auto=webp,53,,2,Upholstered,,,,3037TD,2021-11-02
1,1395,3051 GC Rotterdam (Hillegersberg Zuid),Apartment Graaf Adolf van Nassaustraat,Dop & Dop Consultancy,/apartment-for-rent/rotterdam/849c2a3e/graaf-adolf-van-nassaustraat,https://casco-media-prod.global.ssl.fastly.net/849c2a3e-2616-5925-8003-bc3cf07c36bc/a13ab5ed767b248fab868268c11090e0.jpg?width=600&auto=webp,77,,3,Furnished,,,,3051GC,2021-11-02
2,1550,1108 ES Amsterdam (Nellestein),Apartment Leksmondhof 114,Listings,/apartment-for-rent/amsterdam/deb0aea0/leksmondhof,https://casco-media-prod.global.ssl.fastly.net/deb0aea0-bea5-552a-adb7-f0f9c35689b0/1765f66d7540161b434153a09b3e5df0.jpg?width=600&auto=webp,80,,2,Upholstered,,,,1108ES,2021-11-02
3,1850,1091 TM Amsterdam (Weesperzijde),Apartment Overamstelstraat 21,Listings,/apartment-for-rent/amsterdam/bb883b3b/overamstelstraat,https://casco-media-prod.global.ssl.fastly.net/bb883b3b-4ce0-5d06-8149-c9aa7737f949/8b7344b36e6918fa17df6eb9a6922d21.jpg?width=600&auto=webp,75,,3,Furnished,,,,1091TM,2021-11-02
4,1495,5658 GE Eindhoven (Grasrijk),House Grasmier,Lightcity Housing,/house-for-rent/eindhoven/0fc1d46e/grasmier,https://casco-media-prod.global.ssl.fastly.net/0fc1d46e-4208-5dfc-941c-56c40e49cd66/998c51cfae0857717680b204ae21c663.jpg?width=600&auto=webp,114,,5,Upholstered,,,,5658GE,2021-11-02
5,738,5038 TT Tilburg (Sint Anna Noord),Apartment Lange Schijfstraat,De Huissleutel,/apartment-for-rent/tilburg/ba1fe725/lange-schijfstraat,https://casco-media-prod.global.ssl.fastly.net/ba1fe725-1055-5e72-a1af-6ea505577288/51ec6d3b669691cf5ecea534d15a1d23.jpg?width=600&auto=webp,65,,1,Upholstered,,,,5038TT,2021-11-02
6,525,5041 JM Tilburg (Kasteel West),Studio Kwaadeindstraat,De Huissleutel,/studio-for-rent/tilburg/08ef689a/kwaadeindstraat,https://casco-media-prod.global.ssl.fastly.net/08ef689a-2b48-54d1-a7a2-86ea992ed189/cd0350824d5890c5cf3fd07db30d3b2f.jpg?width=600&auto=webp,28,,1,Upholstered,,,,5041JM,2021-11-02
7,650,3111 PK Schiedam (Brandersbuurt),Apartment Oude Sluis 3 zolder,Dupont ERA Makelaars,/apartment-for-rent/schiedam/aa2cce08/oude-sluis,https://casco-media-prod.global.ssl.fastly.net/aa2cce08-6fae-55e9-93c5-d1b1a3101657/7af367657d588a9881c518b021baded6.jpg?width=600&auto=webp,34,,2,,42,,,3111PK,2021-11-02
8,1400,1021 JC Amsterdam (IJplein/Vogelbuurt),Apartment Meeuwenlaan 169 B,020-Makelaars,/apartment-for-rent/amsterdam/61125b87/meeuwenlaan,https://casco-media-prod.global.ssl.fastly.net/61125b87-aaf9-5f15-aece-640624570603/ecc1d3e0071dd178562fb46444c7d4c0.jpg?width=600&auto=webp,45,,2,Upholstered,,,,1021JC,2021-11-02
9,1850,3016 DT Rotterdam (Nieuwe Werk),Apartment Gedempte Zalmhaven 392,Ooms Makelaars Woningen,/apartment-for-rent/rotterdam/5fb12217/gedempte-zalmhaven,https://casco-media-prod.global.ssl.fastly.net/5fb12217-f8cc-5ef6-a3fa-9a95ae2558ce/84db92d95a83fd0197fbc93adce344fe.jpg?width=600&auto=webp,106,,3,,,2021,,3016DT,2021-11-02
