,AAAA,BBBB,er
0,"Meal, Inexpensive Restaurant",x 8.68,8.68
1,"Meal for 2 People, Mid-range Restaurant, Three-course",x 6.20,6.2
2,Imported Beer (0.33 liter bottle),x 1.55,1.55
3,Water (0.33 liter bottle) ,x 4.65,4.65
4,,,
5,"Cinema, International Release, 1 Seat",x 8.40,8.4
6,Imported Beer (0.33 liter bottle),x 1.05,1.05
7,Water (0.33 liter bottle) ,x 3.15,3.15
8,,,
9,Cigarettes 20 Pack (Marlboro),x 0.00,0.0
10,,,
11,"Milk (regular), (1 liter)",x 28.9333333,28.9333333
12,"Rice (white), (1kg)",x 11.5733333,11.5733333
13,Local Cheese (1kg),x 11.5733333,11.5733333
14,Beef Round (1kg) (or Equivalent Back Leg Red Meat),x 17.36,17.36
15,Banana (1kg),x 28.9333333,28.9333333
16,Tomato (1kg),x 23.1466667,23.1466667
17,Onion (1kg),x 11.5733333,11.5733333
18,,,
19,Domestic Beer (0.5 liter bottle),x 5.1190476,5.1190476
20,Bottle of Wine (Mid-Range),x 0.7678571,0.7678571
21,,,
22,Gasoline (1 liter),x 0.00,0.0
23,,,
24,Taxi Start (Normal Tariff),x 0.00,0.0
25,Taxi 1hour Waiting (Normal Tariff),x 0.00,0.0
26,Monthly Pass (Regular Price),x 4.00,4.0
27,,,
28,"Fitness Club, Monthly Fee for 1 Adult",x 4.00,4.0
29,Vacation and Travel (Monthly Approximate Amount),,
30,,,
31,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",x 1.00,1.0
32,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",x 1.00,1.0
33,,,
34,1 Pair of Jeans (Levis 501 Or Similar),x 0.40,0.4
35,1 Pair of Nike Running Shoes (Mid-Range),x 0.40,0.4
36,,,
37,,,
38,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",x 0.00,0.0
39,,,
40,"Household Supplies, approximation using (Groceries index  + 20) / 100.0 x 20EUR x 4 family members",,
41,"Other, approximation using Cost of Living Plus Rent Index",,
42,,,
